t s
0.10 -0.05
0.20 0.26
0.30 0.48
0.40 0.66
0.50 1.28
0.60 1.70
0.70 2.40
0.80 3.13
0.90 4.03
1.00 5.02
1.10 5.86
1.20 7.05
1.30 8.24
1.40 9.62
1.50 11.05
1.60 12.65
1.70 14.17
1.80 15.78
1.90 17.45
2.00 19.52
2.10 21.71
2.20 23.72
2.30 25.99
2.40 28.22
2.50 30.63
2.60 33.18
2.70 35.81
2.80 38.43
2.90 41.31
3.00 44.12
3.10 47.10
3.20 50.35
3.30 53.21
3.40 56.68
3.50 60.07
3.60 63.40
3.70 67.06
3.80 70.64
3.90 74.51
4.00 78.35
4.10 82.40
4.20 86.45
4.30 90.73
4.40 94.81
4.50 99.24
4.60 103.76
4.70 108.31
4.80 112.81
4.90 117.76
5.00 122.35
5.10 127.56
5.20 132.45
5.30 137.68
5.40 142.89
5.50 148.01
5.60 153.73
5.70 159.22
5.80 164.66
5.90 170.60
6.00 176.33
6.10 182.16
6.20 188.46
6.30 194.50
6.40 200.68
6.50 207.22
6.60 213.55
6.70 220.07
6.80 226.48
6.90 233.18
7.00 240.03
7.10 246.99
7.20 253.98
7.30 261.03
7.40 268.44
7.50 275.66
7.60 282.91
7.70 290.45
7.80 298.01
7.90 305.95
8.00 313.74
8.10 321.66
8.20 329.53
8.30 337.76
8.40 345.79
8.50 354.09
8.60 362.36
8.70 370.84
8.80 379.38
8.90 388.14
9.00 396.87
9.10 405.70
9.20 414.86
9.30 423.84
9.40 432.82
9.50 442.15
9.60 451.38
9.70 461.07
9.80 470.54
9.90 480.23
10.00 489.99
